Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
01/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2021,-2.5741770026511626,-1.2098173724508505,-1.6578962787587903,-2.7789839381298007,-0.296861275382921,-7.252870612589805,0.26091934939357697,9.526613668188173,14.86782061519306,13.831258568387184,0.9141302963892997,3.1477305563707905,10.299235701604426,-7.088774867349961,15.759763058957397,2.8923611519305297,3.201898511552133,-7.6429125368941335,-1.9369342071150337,-4.052302407594712,1.9077592371530017,4.654136581442441,-5.2913314112072385,-1.9591782343358621,-4.02716812031024
01/20/2021,-1.0616739434829523,-1.7373213842807316,-2.23327413977823,-2.3079214934468397,2.105824161964407,-4.752034298279147,2.4540617406647987,7.895037645820812,15.270812618919274,19.32032100539812,1.8222569473606423,6.5720400459237975,11.37681633636822,-6.447581628517105,12.882368573376763,3.285217314609701,4.203933529288974,-6.392817384515453,-1.9150420530204517,-5.304050149560211,3.2546045488755495,5.159464263287776,-5.216103738520301,-2.269894927534853,-4.224895967781161
01/21/2021,3.4194567062008066,1.4023261606908806,2.5405520738744904,1.992994816322244,8.114951166437487,1.167197883152419,8.187989345319147,6.3045925153588565,11.403058135445693,21.256622845796272,0.47653292181612367,7.679625526559558,4.972184541954015,-4.394733579957226,11.18243716800481,2.836411288759888,3.210820824947036,-4.5133767939108305,-5.213847040079203,-4.043193355850854,1.6988688608348255,6.244971744674701,-1.1370986983979234,1.9186674793214624,-1.2985587312048914
01/22/2021,3.6185193530809068,5.3065585271778914,3.7617634446608954,4.314895112460896,8.75739601173217,0.8762304192996676,8.41083916999493,3.1921432948811224,6.5915510127100525,22.447553420840567,-1.758772492109822,6.247785340697154,-0.9629781473200854,-3.6264096360492126,7.73585054244488,0.9894133493046258,4.0041149526031985,-4.5865165391990725,-5.633245235680739,-1.9649544604372027,-1.9105962145101316,5.116872042210218,-0.7490326930122735,1.9214953529385526,-3.3260131299465714
01/25/2021,4.172667384236434,4.568975780924517,3.8015332248694444,4.298706837353534,6.1874724577652165,3.4465255049712,5.841839761069726,-0.5577409549350498,-2.6850361637251288,22.80542710248162,-3.3170390826699654,4.646427043827638,-1.4308464371317247,-5.069132949819586,3.866914513420594,1.8848487712296964,4.690080558618146,-5.736227744557904,-5.288702084273442,-1.3709083211759499,-2.8336930765152935,3.6523047878894905,-1.6400943697659698,2.2647969714376512,-0.970108074576035
01/26/2021,4.214489173646778,8.876171035530085,-0.9460689330809664,5.436314027387403,6.912444603338042,6.207524703978843,6.815363562132358,-0.1715822005510123,4.895510721589953,13.27695433064084,-3.9379097973327957,4.147545418234617,-3.334435721222801,-7.008470352623212,1.4364998406702774,3.017897483003033,4.912786437806189,-7.705251933978174,-5.10396123747762,-2.188170113055324,-4.501035853555168,1.7587615917897388,-1.2800177316700891,3.3904930977217833,-3.031248218562717
01/27/2021,7.862083551740595,11.350611877136743,-0.24815978983698583,6.305731731918411,8.828225721019487,10.427043545170573,8.731497627022824,-1.858534180514116,4.256369901251963,17.183696232313608,-2.96794124801967,3.170952429002382,-5.697176609994249,-3.759574548966913,-1.4408907871969803,8.217920862344199,3.4196776993487554,-4.045141727634084,-3.4937562041465724,-0.07445107531419447,-3.8225279731766473,-0.018190502614724286,0.6368488803331337,4.639329676197407,-1.911522183954487
01/28/2021,9.261885772961726,9.529123659235331,-3.641246387124452,3.8271384685006136,5.56992159991296,9.623375537135766,5.593849170784955,-4.507710908886492,3.4086241011309677,13.669070222615476,-5.794870103967255,-0.3471577695197083,-7.777258008347497,-6.1887855774173275,-5.4045634939557035,7.3474787950954425,-0.09560067891454038,-8.338740313882642,-5.222229776047324,-1.515565157828605,-5.2418654892845415,-6.194257221286363,-1.9437230917137405,3.4435943572229286,-3.5890204118212874
