Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
01/04/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/13/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/14/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/20/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/22/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/2021,2.1114801173982945e-05,5.964020371891411e-06,2.186277634348045e-05,1.600081268657245e-06,1.3272440768606027e-05,1.692257026420142e-05,1.840139656342017e-05,7.477826618461779e-05,4.353943628596527e-05,0.0007271232540325662,-0.00014523459475871033,0.0017329173681361453,3.2505875810449033e-05,-9.993571480967601e-05,2.0647227069986336e-05,8.806567887605297e-05,0.00047368232709805574,-0.0004603927570608011,-7.697093536250325e-05,-0.0005683682807474253,-8.145205987527575e-06,4.792009028065326e-05,-0.000995773164957459,3.9934239718717655e-05,3.6669274238818884e-06
01/27/2021,3.064903380181804e-05,1.4503422351790656e-05,2.0459786117447632e-05,1.354560893357736e-05,2.906044670300432e-05,7.10243798160738e-05,3.6600409381306695e-05,4.943921340072602e-05,7.658115747066513e-05,0.0007199878630507745,-0.00022614051022669705,0.0036138528508861192,5.827839161715958e-05,-0.000148876173068595,1.6807909225988766e-05,0.00010017102802071749,0.0008065691465660647,-0.0006023229592628672,-8.171176072295492e-05,-0.0007681225437318415,-5.17230030617146e-06,6.1030486257307874e-05,-0.0004062462910378581,0.00013483347965887024,4.3903113930262405e-06
01/28/2021,2.966912510775504e-05,1.0181489236935262e-05,-8.208269436832195e-06,4.61889261810786e-06,7.191678916897125e-06,2.868770800945363e-05,1.165811070725113e-05,-7.859734261018937e-06,4.295424854943515e-05,0.0006060072247442197,-8.635676952330797e-05,0.0009790924836007913,-1.1474754301381726e-05,-0.00013672273409902913,2.900308317753854e-06,7.489107282628253e-05,0.00023034333028303105,-0.0004688971352506158,-9.596644766778832e-05,-0.0005585104036074502,-2.0635600399325124e-05,-1.6487344985007077e-05,-0.0003931520773900185,8.873066416218705e-05,-3.7905112115583333e-06
01/29/2021,5.068090250217555e-05,6.121110920851867e-06,3.6571745084800235e-06,6.40002318142058e-06,1.1436749205083284e-05,-2.3835341602073557e-06,1.7349568459999877e-05,-1.6798513231341195e-05,2.434688325834186e-05,0.0008413303501832513,-0.0007361281868817467,0.0011613355762882835,-4.054703477055827e-05,-0.00012661548665047652,4.245575688467332e-06,0.00011359066748031591,0.0003205306262182356,-0.0003572051058110502,-0.00011392865068731421,-0.0006196975792737465,-3.405739246098378e-05,-2.2263120887230426e-05,-0.0001776247732950853,0.00013069281287197247,-8.098054743600775e-06
02/01/2021,3.124481282091409e-05,-2.6474532536711273e-07,-1.3726627998073344e-05,1.5255235217460289e-06,5.636637113936563e-06,-3.284032638354717e-05,7.40419350205026e-06,-4.680339108567794e-05,-1.9836960706085005e-05,0.000496923241724889,-0.0008570992364519485,0.00015859350219765283,-4.9297364629883734e-05,-9.728874189157471e-05,-9.24000118968824e-07,1.1641437916175592e-05,8.505947348212097e-05,-0.0004598014580270692,-0.00012296106838168212,-0.0006037635141188382,-6.527352685642915e-05,-4.6479819420888564e-05,-0.0006935418962571666,8.589521950554181e-05,-1.8224831530154076e-05
